# مرجع الديموغرافيا L1 — سكان (World Bank) + نسبة مسلمين (Pew Research). يُبنى عبر tools/fetch_demographics.py — لا يُعدَّل يدوياً.
# Muslim %% source: https://github.com/datasets/world-religion-projections — original: https://www.pewresearch.org/religion/feature/religious-composition-by-country-2010-2050/
iso3,name_en,population,population_year,population_source,muslim_pct,muslim_pct_year,muslim_pct_source,note
LBY,Libya,7381023,2024,World Bank (data/worldbank_seed.csv),96.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
LCA,Saint Lucia,179744,2024,World Bank (data/worldbank_seed.csv),,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة
LIE,Liechtenstein,40450,2024,World Bank (data/worldbank_seed.csv),5.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
LKA,Sri Lanka,21916000,2024,World Bank (data/worldbank_seed.csv),10.4,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
LSO,Lesotho,2337423,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
LTU,Lithuania,2888278,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
LUX,Luxembourg,677012,2024,World Bank (data/worldbank_seed.csv),2.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
LVA,Latvia,1866124,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
MAC,Macau,687000,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
MAF,Saint Martin,26129,2024,World Bank (data/worldbank_seed.csv),,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة
MAR,Morocco,38081173,2024,World Bank (data/worldbank_seed.csv),99,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
MCO,Monaco,38631,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
MDA,Moldova,2402306,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
MDG,Madagascar,31964956,2024,World Bank (data/worldbank_seed.csv),3.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MDV,Maldives,527799,2024,World Bank (data/worldbank_seed.csv),98.4,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MEX,Mexico,130861007,2024,World Bank (data/worldbank_seed.csv),0.1,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقل من 1%
MHL,Marshall Islands,37548,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
MKD,North Macedonia,1824359,2024,World Bank (data/worldbank_seed.csv),,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة
MLI,Mali,24478595,2024,World Bank (data/worldbank_seed.csv),94.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MLT,Malta,568847,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
MMR,Myanmar,54500091,2024,World Bank (data/worldbank_seed.csv),,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة
MNE,Montenegro,623525,2024,World Bank (data/worldbank_seed.csv),20.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MNG,Mongolia,3524788,2024,World Bank (data/worldbank_seed.csv),3.4,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MNP,Northern Mariana Islands,44278,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
MOZ,Mozambique,34631766,2024,World Bank (data/worldbank_seed.csv),17.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MRT,Mauritania,5169395,2024,World Bank (data/worldbank_seed.csv),99.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MSR,Montserrat,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
MTQ,Martinique,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
MUS,Mauritius,1245779,2024,World Bank (data/worldbank_seed.csv),17.4,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MWI,Malawi,21655286,2024,World Bank (data/worldbank_seed.csv),12.8,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
MYS,Malaysia,35557673,2024,World Bank (data/worldbank_seed.csv),64,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
MYT,Mayotte,,,,98.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",لا عدد سكان في المرجع الحالي
NAM,Namibia,3030131,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
NCL,New Caledonia,292639,2024,World Bank (data/worldbank_seed.csv),2.8,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
NER,Niger,27032412,2024,World Bank (data/worldbank_seed.csv),98.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
NFK,Norfolk Island,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
NGA,Nigeria,232679478,2024,World Bank (data/worldbank_seed.csv),50,2020,Pew Research (Silk curated seed — data/muslim_share.csv),نحو النصف
NIC,Nicaragua,6916140,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
NIU,Niue,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
NLD,Netherlands,17993485,2024,World Bank (data/worldbank_seed.csv),7,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية معتبرة
NOR,Norway,5572279,2024,World Bank (data/worldbank_seed.csv),4.9,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
NPL,Nepal,29651054,2024,World Bank (data/worldbank_seed.csv),5.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
NRU,Nauru,11947,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
NZL,New Zealand,5287500,2024,World Bank (data/worldbank_seed.csv),1.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
OMN,Oman,5281538,2024,World Bank (data/worldbank_seed.csv),86,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
PAK,Pakistan,251269164,2024,World Bank (data/worldbank_seed.csv),96,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
PAN,Panama,4515577,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PCN,Pitcairn Islands,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
PER,Peru,34217848,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PHL,Philippines,115843670,2024,World Bank (data/worldbank_seed.csv),6,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
PLW,Palau,17695,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PNG,Papua New Guinea,10576502,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
POL,Poland,36559233,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PRI,Puerto Rico,3203295,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PRK,North Korea,26498823,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PRT,Portugal,10694681,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PRY,Paraguay,6929153,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
PSE,Palestine,5289152,2024,World Bank (data/worldbank_seed.csv),,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة
PYF,French Polynesia,281807,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
QAT,Qatar,2857822,2024,World Bank (data/worldbank_seed.csv),66,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
REU,Réunion,,,,4.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",لا عدد سكان في المرجع الحالي
ROU,Romania,19051804,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
RUS,Russia,143533851,2024,World Bank (data/worldbank_seed.csv),10,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية كبيرة
RWA,Rwanda,14256567,2024,World Bank (data/worldbank_seed.csv),2.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SAU,Saudi Arabia,35300280,2024,World Bank (data/worldbank_seed.csv),93,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
SDN,Sudan,50448963,2024,World Bank (data/worldbank_seed.csv),90.7,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SEN,Senegal,18501984,2024,World Bank (data/worldbank_seed.csv),96.6,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SGP,Singapore,6036860,2024,World Bank (data/worldbank_seed.csv),15,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية معتبرة
SGS,South Georgia,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
SHN,"Saint Helena, Ascension and Tristan da Cunha",,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
SJM,Svalbard and Jan Mayen,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
SLB,Solomon Islands,819198,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
SLE,Sierra Leone,8642022,2024,World Bank (data/worldbank_seed.csv),78.5,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SLV,El Salvador,6338193,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
SMR,San Marino,33977,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
SOM,Somalia,19009151,2024,World Bank (data/worldbank_seed.csv),99.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SPM,Saint Pierre and Miquelon,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
SRB,Serbia,6586476,2024,World Bank (data/worldbank_seed.csv),5.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SSD,South Sudan,11943408,2024,World Bank (data/worldbank_seed.csv),6.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
STP,São Tomé and Príncipe,235536,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
SUR,Suriname,634431,2024,World Bank (data/worldbank_seed.csv),14.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SVK,Slovakia,5422069,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
SVN,Slovenia,2127400,2024,World Bank (data/worldbank_seed.csv),3.9,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SWE,Sweden,10569709,2024,World Bank (data/worldbank_seed.csv),8,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية معتبرة
SWZ,Eswatini,1242822,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
SXM,Sint Maarten,43350,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
SYC,Seychelles,121354,2024,World Bank (data/worldbank_seed.csv),1.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
SYR,Syria,24672760,2024,World Bank (data/worldbank_seed.csv),92.8,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
TCA,Turks and Caicos Islands,46535,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
TCD,Chad,20299123,2024,World Bank (data/worldbank_seed.csv),55.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
TGO,Togo,9515236,2024,World Bank (data/worldbank_seed.csv),14.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
THA,Thailand,71668011,2024,World Bank (data/worldbank_seed.csv),5,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
TJK,Tajikistan,10590927,2024,World Bank (data/worldbank_seed.csv),96.4,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
TKL,Tokelau,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
TKM,Turkmenistan,7494498,2024,World Bank (data/worldbank_seed.csv),93.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
TLS,Timor-Leste,1400638,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
TON,Tonga,104175,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
TTO,Trinidad and Tobago,1368333,2024,World Bank (data/worldbank_seed.csv),5.8,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
TUN,Tunisia,12277109,2024,World Bank (data/worldbank_seed.csv),99,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
TUR,Türkiye,85518661,2024,World Bank (data/worldbank_seed.csv),98,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أغلبية مسلمة
TUV,Tuvalu,9646,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
TWN,Taiwan,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
TZA,Tanzania,68560157,2024,World Bank (data/worldbank_seed.csv),34.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
UGA,Uganda,50015092,2024,World Bank (data/worldbank_seed.csv),12.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
UKR,Ukraine,37860221,2024,World Bank (data/worldbank_seed.csv),1.7,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
UMI,United States Minor Outlying Islands,,,,,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة؛ لا عدد سكان في المرجع الحالي
UNK,Kosovo,,,,94.3,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",لا عدد سكان في المرجع الحالي
URY,Uruguay,3386588,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
USA,United States,340110988,2024,World Bank (data/worldbank_seed.csv),1,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
UZB,Uzbekistan,36361859,2024,World Bank (data/worldbank_seed.csv),97.1,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
VAT,Vatican City,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
VCT,Saint Vincent and the Grenadines,100616,2024,World Bank (data/worldbank_seed.csv),1.5,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
VEN,Venezuela,28405543,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
VGB,British Virgin Islands,39471,2024,World Bank (data/worldbank_seed.csv),1.2,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
VIR,United States Virgin Islands,104377,2024,World Bank (data/worldbank_seed.csv),,,,لا نسبة مسلمين موثّقة لهذا السوق — فجوة معلنة
VNM,Vietnam,100987686,2024,World Bank (data/worldbank_seed.csv),0.1,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقل من 1%
VUT,Vanuatu,327777,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
WLF,Wallis and Futuna,,,,1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation؛ لا عدد سكان في المرجع الحالي
WSM,Samoa,218019,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
YEM,Yemen,40583164,2024,World Bank (data/worldbank_seed.csv),99.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",
ZAF,South Africa,64007187,2024,World Bank (data/worldbank_seed.csv),2,2020,Pew Research (Silk curated seed — data/muslim_share.csv),أقلية
ZMB,Zambia,21314956,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
ZWE,Zimbabwe,16634373,2024,World Bank (data/worldbank_seed.csv),1.0,2020,"Pew Research Center — The Future of World Religions (via datasets/world-religion-projections, CC BY 4.0)",≤1% (مقصوصة عند 1.0 في مصدر Pew المهيكل — القيمة الحقيقية قد تكون أدنى) — clamped at 1.0 by Pew's own dataset documentation
